Recipe Number,Recipe Name,Short Name,Station,Menu Portion Size,Menu Portion Weight(g),GTIN,Sell Price,Kcal/100g,COLOR,KCAL,FAT (g),CHO (g),Total Sugars (g),PRO (g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'40484,HC Broccoli and Cheddar Brown Rice Casserole,Broccoli Cheddar Casserole,Main Dish- Sides,8 oz portion,278.641,886721192091,$1.98 ,134.5990001,YELLOW,375.048,23.738,27.875,3.067,12.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'50962,HC Brown and Wild Rice Pilaf,Brown & Wild Rice Pilaf,Main Dish- Sides,1 cup,233.327,886721254300,$1.98 ,135.793543,YELLOW,316.843,5.578,59.389,2.782+,8.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'45118,EUR: Garlic Mashed Potatoes,garlic mashed potatoes,Main Dish- Sides,1 cup,323.723,886721218807,$1.98 ,186.907634,YELLOW,605.063,42.846,51.416,6.081,6.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'574,HC Southwestern Cornbread,Southwestern Cornbread,Main Dish- Sides,1 slice,111.045,886721009733,$1.98 ,219.9153496,ORANGE,244.205,10.22,34.59,3.756,4.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'5264.14,Canteen BMW: Sweet Pea Orzo,Sweet Pea Orzo,Main Dish- Sides,8 ounce,242.423,886721415459,$1.98 ,235.3369936,ORANGE,570.511,34.681,53.55,2.771,11.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'76991,EUR: Creamy Macaroni and Cheese,creamy macaroni and cheese,Main Dish- Sides,1 cup,255.146,886721943273,$1.98 ,260.1079382,ORANGE,663.655,49.385,36.113,7.018+,19.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'65369,EUR: Garlic Cheese Bread,garlic cheese bread,Main Dish- Sides,1 slice,29.787,886721422433,$1.98 ,375.0830899,ORANGE,111.726,6.611,8.952,0.169,4.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'7743.4,Canteen BMW: Stuffed Pepper Soup,Stuffed Pepper Soup,Soups,16 floz,470.858,886721393993,$3.14 ,113.483683,GREEN,534.347,32.132,30.781,5.262+,30.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'27120.4,"Canteen BMW: Cabbage And Potato Soup with Bacon, from base",Cabbage and Potato Soup with Bacon,Soups,16 floz,456.285,886721415596,$3.14 ,33.28730947,GREEN,151.885,6.387,16.566,5.245,7.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1535,HC Minestrone Soup,Minestrone Soup,Soups,16 floz,575.186,886721004660,$3.14 ,41.66321851,GREEN,239.641,2.684,43.514,5.097,11.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'77898.5,Canteen BMW: Havana Style Black Bean Soup,Havana-Style Black Bean Soup,Soups,16 floz,468.638,886721414520,$3.14 ,45.69497139,GREEN,214.144,6.507,33.644,10.354+,7.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'11077.2,EUR: Chicken & White Bean Soup (Base),chicken & white bean soup,Soups,16 floz,697.477,886721216445,$3.14 ,49.95189806,GREEN,348.403,6.588,44.867,3.985+,30.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'67044,"HC Vegetable and Tortellini Soup, Great Living",Vegetable and Tortellini Soup,Soups,16 floz,459.48,886721483519,$3.14 ,53.19208671,GREEN,244.407,9.89,32.363,6.131+,8.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
